name,credits,prereqs,coursenum,offeredin,description,department
"Indigenous Issues of the Americas",4,null,AIS305,null,"This travel seminar explores issues faced by indigenous people of the Americas. Each group faces similar challenges thatmanifest differently due to the political, social, and cultural influence about sovereignty, land rights, economy, religion,cultural survival, womens issues, and political movements through site visits of the dominant culture in each country.Students will learn and interact with indigenous organizations. This course is cross-listed with Womens Studies. May betaken in conjunction with WST 490 or AIS 490.",
"American Indian Women",4,null,AIS320,null,"Through life histories of Indian women, the course examines the vital roles and contributions of women in past andpresent tribal cultures. It explores the continuity of womenï¿½s roles over times and the changes in these roles,precipitated by the influences of Western colonialism. The course also assesses how American Indian women havecrossed cultural boundaries and influenced non-tribal communities through their activism and traditionalism. Thiscourse is cross-listed with womenï¿½s studies.",
"Native American Storytelling",4,null,AIS332,null,"The objective of this course is to study Native American storytelling from a cultural perspective. An appreciation of oraltraditions will be emphasized and studied within the broader context of world mythologies. Students will be expected toperform storytelling and to research the various tribal storytelling traditions.",
"Themes in American Indian Literature",4,null,AIS355,null,"The course is structured around a number of writers working within a particular theme such as Native Voices ofMinnesota, Voices from the Southwest, Poetics and Politics of Native Writing, Women and Power in Native Literature,Urban-Reservation: Homing, and American Indian film-literature adaptation. Students focus on primary texts, comparingand contrasting theme, voice, aesthetic, or cultural emphasis as it shifts or arises across the group of texts. Course crosslists with English.",
"Indigenous Filmmakers",4,null,AIS364,null,"Indigenous Filmmakers introduces students at the junior and senior level to the exciting and expanding field ofindigenous mediaï¿½specifically films made by Native Americans. We will explore the political and social forces at workbehind the American indigenous film movement, which responds to mainstream filmï¿½s portrayal of Native Americansand provides an extraordinary range in perspectives and views that inform Native American cultures.",
Internship,4,null,AIS396,null,,
Internship,2,null,AIS397,null,,
Internship,4,null,AIS399,null,,
"Indigenous Activism and Resistance in the Americas",4,null,AIS405,null,"This course explores ongoing and current forms of activism and resistance across North and South America that aredirectly related to cultural survival and continuity, issues of sovereignty and peoplehood, autonomy and selfdetermination, and decolonization.",
"Native American Women and Film",4,null,AIS408,null,"Beginning with issues of representation and a history of Hollywoodï¿½s portrayal of Native American woman as princessfigures, sexualized maidens, or squaws, we will expand our conceptualization of Native American women by putting intoconversation a variety of voices that talk back to or address mainstream stereotypes of Native American women. Ourgoal is to expand our conceptualizations of Native American women and their important roles in society by examining avariety of cultural issues as they are presented through documentary and fiction films made by and about NativeAmerican women.",
"Indigenous Issues of the Americas",4,null,AIS490,null,"This travel seminar explores issues faced by indigenous people of the Americas. Each group faces similar challenges thatmanifest differently due to the political, social, and cultural influence about sovereignty, land rights, economy, religion,cultural survival, womens issues, and political movements through site visits of the dominant culture in each country.Students will learn and interact with indigenous organizations.",
Topics,4,null,AIS495,null,"Individual courses designed to investigate specific topics such as Minnesota Indians, Contemporary Indigenous Issues ofNorth and South America, and American Indian Literature Seminar.",
"Independent Study/Research",2,null,AIS498,null,,
"Independent Study",4,null,AIS499,null,"An independently designed research project.",
"Introduction to Cultural Anthropology",4,null,ANT141,null,"This course serves as an introduction to cultural anthropology. Course objectives include providing students with anunderstanding of anthropological methods and theories, the concepts of race and culture, an appreciation andawareness of differing cultures, and an awareness of the role cultural anthropology has in understanding contemporaryhuman problems.",
"Topics in Anthropology",4,null,ANT295,null,,
"Topics in Anthropology",4,null,ANT495,null,,
"Special Topics",4,null,ART100,null,"Selected courses dealing with special topics, offered occasionally in the department.",
Design,4,null,ART102,null,"A study of design is the unifying foundation for the visual arts. Two- and three-dimensional projects demonstrate theoryand application of basic design elements and principles.",
"Special Topics",1,null,ART103,null,,
"Introduction to Architectural Drawing",4,null,ART105,null,"This course develops basic skills involved in perceiving and representing the material environment through the study ofsketching and drawing skills.",
"Introduction to Chinese Calligraphic Arts",4,null,ART106,null,"Introduction and practice of Chinese calligraphic painting and writing.",
Drawing,4,null,ART107,null,"Introduction to foundational drawing from direct observation, memory, and reference. Traditional and experimentalmedia and methods are explored to develop technical and formal skills in support of individual expression.",
"Painting I",4,null,ART118,null,"Introduction to observational and experimental approaches and techniques in acrylic or oil painting. Color theory,composition, painting methods, and individual expression are emphasized.",
"Plein Air Sketching I",4,null,ART122,null,"Introduction to traditional sketching media and approaches for drawing en plein air, outside and on location. Portable,all-weather materials and processes, and perceptual techniques are emphasized to create a sketchbook of drawingsfrom direct observation.",
"Graphic Design Production: InDesign",1,null,ART124,null,"This introductory course focuses on some of the basic features of the most current version of Adobe InDesign andAcrobat Pro so that the student can navigate the software environment and use InDesign tools to create page layouts.This course explores the process of creating and managing multiple page layouts with variable page content.",
"Graphic Design Production: Illustrator",1,null,ART125,null,"This introductory course focuses on foundational skills in the most current version of Adobe Illustrator so that thestudent can develop a confident understanding of the software. Focus is placed on hands-on activities that demonstratehow these techniques can be used in combination to create engaging vector-based art such as illustrations, logos,advertisements, or other graphic documents.",
"Graphic Design Production: Photoshop",1,null,ART126,null,"This introductory course focuses on some of the basic features of the most current version of Adobe Photoshop so thatthe student can navigate the software environment and use Photoshop tools to work with photographic images. Focus isplaced on hands-on activities that demonstrate how these techniques can be used in combination to create innovativevisual effects.",
"Graphic Design Production: HTML/CSS",1,null,ART127,null,"This course provides foundational skills for interactive design. We will cover the following topics in this class: Principlesof Web Design including usability and the tools to accomplish this including HTML5 and CSS3.",
"Photography I",4,null,ART132,null,"This course introduces the technical skills, creative applications, and vocabulary of black-and-white film photography.Technical lectures and demonstrations cover 35mm camera operation, film processing, and black-and-white darkroomprinting. Class lectures, readings, field trips, and research introduce students to the canon of photographic history,including a broad range of genres, historical contexts, and artistic practices. Students need a 35mm single lens reflexcamera.",
"Introduction to Digital Photography",4,null,ART133,null,"This course introduces students to the conceptual and practical principles of digital photography. Fundamentalterminology, concepts, and techniques of digital photography will be explored through lectures, readings, hands-onassignments, and field trips. Studio work emphasizes photography as a form of creative expression through digitalcameras, software, scanners, and printers.",
"Introduction to Community-Based Photography",4,null,ART180,null,"This course introduces the technical skills and creative applications of black-and-white photography with courseworkthat integrates partnership and service. Art 180 combines art and social research concepts to help students understandhow the arts foster community building and engagement. Class lectures, demonstrations, ssignments, and service willintroduce students to documentary work that will be presented as portfolio to a nonprofit partner. Students need a35mm single lens reflex camera.",
Internship,4,null,ART199,null,,
"Introduction to Graphic Design",4,null,ART201,null,"This course provides an introduction to the practice of graphic design. Design principles are explored in creating andorganizing through visual communication. The focus of this class will be building the foundation in design programs suchas Adobe InDesign, Illustrator, and Photoshop, and discovering the visual language necessary to develop as creativeproblem solvers. Graphic Design majors are encouraged to take ART 125 and ART 126 before or at the same time as thiscourse.",
Typography,4,null,ART202,null,"Study of the history, development, structures, and application of traditional and contemporary typography; explorationof letterforms using digital, hand-set type, and hand lettering.",
"Drawing for Design in Architecture",4,null,ART210,null,"Introduction to and exploration of the conceptual function of drawing in architecture. Exploration of the history ofdrawing in architecture, critical review of drawing conventions and systems, and examination of drawing processes asmodes of perception and cognition.",
"Introduction to Web Design",4,null,ART215,null,"This course provides an introduction to designing for the Internet. Students will learn basic skills for interactive designand will become familiar with design software to execute their designs.",
"Sculpture I",4,null,ART221,null,"An introduction to sculpture and three-dimensional design through the exploration of the inherent properties of variousmaterials and processes.",
"Print Making I",4,null,ART223,null,"An introduction to traditional and experimental media and methods of printing. Intaglio, relief, and mono/uniquemethods are explored.",
"Artist Workshop",1,null,ART226,null,"This course offers students the opportunity to work with a professional artist or designer. Students participate inworkshops with the artist and complete a project through the approach of the guest artist. Emphasis is on working in aprofessional studio atmosphere. Course is repeatable.",
"Pre-Columbian,Colonial, & Contemporary Mexican Art",4,null,ART231,null,"This course aims to develop an understanding and appreciation of Mexican art from the Pre-Columbian, colonial, andcontemporary periods, with emphasis on Frida Kahlo and the muralist movement of Diego Rivera, David AlfredoSiqueiros, and Josï¿½ Clemente Orozco. Students will participate in numerous excursions to many museums as well asarchaeological and historical sites.",
"Collaborative Printmaking: A Press Free Approach",4,null,ART233,null,"This online course is designed to engage creative, imaginative, and technical processes to produce prints without a pressand to interpret works of art. Students learn water-based printmaking techniques while exploring several kinds ofcollaboration. Students critically analyze works of art produced by themselves and their peers, and through this analysisthey will articulate different theories of aesthetics.",
"Art History Survey",4,null,ART240,null,"A survey of art of the Western world from prehistoric to modern times.",
"History of Architecture to 1750",4,null,ART243,null,"History of architecture and city planning from antiquity to 1750, as illustrated by Western and non-Western examples.",
"History of Architecture after 1750",4,null,ART244,null,"History of architecture and city planning since 1750, as illustrated by Western and non-Western examples.",
"Life Drawing",4,null,ART247,null,"Introduction to traditional and experimental methods and techniques for drawing the human figure through directobservation of the live nude model. Perceptual proportions, planes, and individual expression of the human form inspace are emphasized.",
"The Designed Environment",4,null,ART249,null,"This course addresses the designed environment, investigating architecture, landscape architecture, and urban design.Class sessions consist almost exclusively of extensive walking tours and site visits to prominent examples of designexcellence.",
"Ceramics I",4,null,ART250,null,"An introduction to the making of pottery with an emphasis on handbuilding and throwing techniques combined withtheory, concept, and form.",
"Watercolor Painting I",4,null,ART257,null,"Introduction to foundational techniques, and observational and experimental approaches to watercolor painting.Exploration of color theory, composition, and individual expression are emphasized. Includes some painting outside onlocation.",
"Computer Drafting for Stage and Architecture",4,null,ART265,null,"Computer Drafting for the Stage and Architecture is an introduction to using AutoCAD LT for drafting on the computer.Students will learn how to use basic AutoCAD commands to input information, organize, layout and print 2-D draftingplates, with an emphasis on drafting for the theater and architecture.",
"Hand Papermaking and Book Arts I",4,null,ART280,null,"Introduction to hand papermaking, box building, and bookmaking; emphasizes the interplay of text, image, and form inthe contemporary artists book.",
"Native American Art",4,null,ART290,null,"An exploration of the rich heritage of visual arts from indigenous communities of North America, surveying the dynamicnature of Native American art spanning from pre-European contact into the present while exploring the political natureof that trajectory as it encounters cultural change, Western aesthetics, and Western concepts of art. Students will meetNative artists, visit a variety of Native American art galleries and exhibitions, and learn about the cultural, social, andpolitical context surrounding Native American art.",
"Directed Study",4,null,ART299,null,,
"Special Topics",4,null,ART300,null,"Selected courses dealing with special topics, offered occasionally in the department.",
"Mid-Program Portfolio Review",1,null,ART305,null,"Mid-Program Portfolio Review showcases studio art, art history, and graphic design majorsï¿½ emerging original creativeproduction in a group exhibition to focus exploration in preparation for the rigor of the senior themed soloexhibition/project. Majors prepare a portfolio of original creative production, digitally document it, write and present aposition statement, and engage a variety of audiences in critical dialogue. Faculty conducts a formal review of theexhibition, presentation and portfolio. Students who do not pass ART 305 do not continue in the major. (Prerequisite:Completion of 16 credits, at least 8 at Augsburg.)",
"Advanced Chinese Calligraphic Arts",4,null,ART306,null,"Advanced practice of Chinese calligraphic painting and writing.",
"Graphic Systems",4,null,ART315,null,"Graphic Systems explores design concepts and production for interactive experiences as seen through publications(screen/print), wayfinding, and digital platforms. Time, scale, cues, and interface will be considered in both theory andpractice through research and projects. Time in concerned with the rational progression of a story, but also informs thesequenced order of an exhibit or navigation. Scale refers to the size or breadth of a book as much as it refers to the sizeof an image on a page, printed, or electronic.",
"Plein Air Sketching II",4,null,ART322,null,"Advanced study of drawing en plein air emphasizes creating a sketchbook outside on location to explore advancedobservational technique, significant experiential engagement, complex composition, and emerging personal style usingportable all-weather materials and processes.",
"Design Studio I",4,null,ART324,null,"As part of the design agency, students will become familiar with working on real-world projects. Through an intense,collaborative, project-based approach, this class explores the practice of graphic design. Students will extend theirlearning beyond the classroom and work with community partners to create a variety of design projects.",
"Design Studio II",4,null,ART326,null,"As part of the design agency, students will become competent in the skills necessary to execute real-world projects.Through an intense, collaborative, project-based approach, this class explores the practice of graphic design. Studentswill extend their learning beyond the classroom and work with community partners to create a variety of designprojects.",
"Photography II",4,null,ART332,null,"Advanced study that focuses on refining the skills and visual vocabulary introduced in ART 132. Emphasis on portfoliodevelopment using advanced black-and-white materials. Semester projects encourage individual creativity andexamination of critical issues in contemporary photography. Students must provide their own 35mm camera.",
"Advanced Digital Photography",4,null,ART333,null,"This advanced course explores the technical, creative, conceptual, and ethical aspects of digital photography. Through aseries of lectures, demonstrations, projects, critiques, and guest presenters, students will expand their knowledge ofphotography using digital technology within the fine arts context. Students will also spend time shooting assignments,working in the computer lab, attending exhibitions, reading the text, and writing.",
"Digital Imaging",4,null,ART340,null,"Exploration of visual communications in the electronic environments using various software programs to create digitalimages, animation, and digital games.",
"Advanced Drawing",4,null,ART347,null,"Advanced study of drawing emphasizes open exploration of drawing media, methods, and surfaces in support of subjectmatter, themed series, individual style, and original expression.",
"The Designed Environment",4,null,ART349,null,"This course addresses the designed environment, investigating architecture, landscape architecture, and urban design.Class sessions consist almost exclusively of extensive walking tours and site visits to prominent examples of designexcellence.",
"Ceramics II",4,null,ART351,null,"Advanced work in ceramics explores clay, glaze, and firing technology with a continued emphasis on throwing andhandbuilding techniques combined with theory, concept, and form.",
"Women and Art",4,null,ART352,null,"A study of the creative role of women in the visual arts, including the fine arts, the traditional arts, and the arts of NativeAmerican women.",
"Painting II",4,null,ART355,null,"Advanced study in acrylic or oil painting emphasizes individual expression and emerging style through advanced colortheory, series development, and exploration of individual subject matter, approach, and method.",
"Watercolor Painting Il",4,null,ART357,null,"Advanced study in watercolor painting emphasizes individual expression and emerging style through advanced colortheory, series development, and exploration of individual subject matter, approach, and method.",
"Print Making II",4,null,ART368,null,"Continued exploration of intaglio, relief, and mono/unique methods. Use oflarger formats, multiple plates, and anemphasis on color are encouraged.",
"Hand Papermaking and Book Arts II",4,null,ART380,null,"Advanced exploration in hand papermaking and book arts, emphasizing individual research and expression.",
"Scandinavian Arts",4,null,ART382,null,"The visual arts in Scandinavia from the Stone Age to the present, including architecture, folk arts, painting, sculpture,and design.",
"Prehistoric and Ancient Art",4,null,ART385,null,"The art of the Ice Age through the Roman period to the fourth century A.D.",
"Medieval Art",4,null,ART386,null,"Early Christian through late Gothic and proto-Renaissance painting, sculpture, and architecture in Europe.",
"Renaissance and Baroque Art",4,null,ART387,null,"European painting, sculpture, and architecture, from the 14th through the 18th centuries.",
"Modern Art",4,null,ART388,null,"Painting, sculpture, and architecture from Neoclassicism through the present.",
"American Art",4,null,ART389,null,"A study of early colonial through contemporary American art, architecture, and folk arts.",
"Native American Art",4,null,ART390,null,"This course surveys the rich and dynamic heritage of visual arts from indigenous communities of North America,spanning from pre-European contact into the present. Students will meet Native artists, visit a variety of NativeAmerican art galleries and exhibitions, and learn about the cultural, social, and political context surrounding NativeAmerican art. ART390 is open to art history students only.",
Internship,4,null,ART396,null,,
Internship,2,null,ART397,null,,
Internship,2,null,ART398,null,,
Internship,4,null,ART399,null,,
"Senior Exhibition/Project and Review",3,null,ART405,null,"This course showcases studio art, art history and graphic design majorsï¿½ developing creative production through soloexhibition and review. Majors learn professional practices and writing for the arts, produce themed original creativeproduction for exhibition, create digital portfolio and identity package, prepare work for presentation, install exhibition,engage a variety of audiences in critical dialogue, participate in formal faculty review and reflect on vocation.",
"Advanced Design Studio III",4,null,ART424,null,"As part of the design agency, students will learn the principles of leading a team through real-world projects. Through anintense, collaborative, project-based approach, this class explores the practice of graphic design as well as thecomponents of managing creative projects. Students will extend their learning beyond the classroom and work withcommunity partners to create a variety of design projects. Emphasis is placed on cultivating the students personalinterests and abilities, editing and refining the range and quality of portfolio work.",
"Advanced Design Studio IV",4,null,ART425,null,"As part of the design agency, students will lead teams through real-world projects. Through an intense, collaborative,project-based approach, this class explores the practice of graphic design as well as competencies of managing creativeprojects. Students will extend their learning beyond the classroom and work with community partners to create avariety of design projects.",
"Sculpture II",4,null,ART478,null,"Advanced work in sculpture and three-dimensional design.",
"Independent Study",2,null,ART498,null,,
"Independent Study/Research",4,null,ART499,null,,
"Beginning American Sign Language I",4,null,ASL101,null,"An introduction to deaf culture and the signs and syntax of ASL. Students observe the demonstration of signs, practicetheir own signing, and learn the facial expressions and body language needed to communicate clearly with deaf andhard-of-hearing people.",
"Beginning American Sign Language II",4,null,ASL102,null,"An introduction to deaf culture and the signs and syntax of ASL. Students observe the demonstration of signs, practicetheir own signing, and learn the facial expressions and body language needed to communicate clearly with deaf andhard-of-hearing people.",
"Augsburg Seminar",1,null,AUG101,null,"A weekly seminar linked to a course or course pair that integrates course content with learning strategies andcommunity-building opportunities beneficial to beginning college students. While the content course is graded on atraditional point basis, Augsburg Seminar is graded P/N. Permission to complete the seminar if the student withdrawsfrom the linked content course(s) is at the discretion of the instructor(s). (P/N grading only)",
"The Biological World",4,null,BIO102,null,"The basic concepts of biology pertaining to both plants and animals are emphasized. The nature of science and theapproach used by scientists to gather and analyze data and propose and test hypotheses are considered. Concurrentregistration in BIO102L is required. (Three one-hour lectures, one three-hour laboratory. Does not apply to the major orminor.)",
"Human Anatomy and Physiology",4,null,BIO103,null,"A survey of the structure and function of the human body. Concurrent registration in BIO103L is required. (Three hourslecture, three hours laboratory. A student may not receive credit for both BIO 121 and 103. Does not apply to the majoror minor.) Students are strongly encouraged to take CHM 102 or another chemistry course before taking this class.",
"Environmental Biology",4,null,BIO118,null,"Analyze the most important issues in environmental biology with special emphasis on biodiversity, drawing particularlyfrom examples in Mexico. Students will learn about theoretical and applied issues regarding the ecological framework oftropical America through lectures, required readings, fieldwork, and lab work. Concurrent registration in BIO118L isrequired. This course may be used as a substitute to meet the ENV 120 requirement in the ENV major, and meets theNatural Sciences LAF.",
"Human Biology",4,null,BIO121,null,"An introduction to basic biological principles with a human perspective and application. Includes discussion of themolecular and cellular basis of life, genetics and genetic disease, selected organ systems and disease, and thesustainability of life on Earth. Concurrent registration in BIO121L is required. (Three hours lecture, one three-hour lab. Astudent may not receive credit for both BIO 121 and 103. Does not apply to the major or minor in biology. Students arestrongly encouraged to take CHM 102 before taking this class. )",
"Introductory Biology Workshop",2,null,BIO150,null,"An elective workshop for students concurrently enrolled in BIO 151 Introductory Biology. Students will explore topicscovered in BIO 151 in more depth using AVID-based strategies for succeeding in college-level biology courses. P/Ngrading only.",
"Introductory Biology",4,null,BIO151,null,"First of a two-semester sequence. An introduction to biology for science majors, including cell and molecular biology,energy metabolism, genetics. BIO 151 and 152 must be taken in sequence except by permission of instructor.Concurrent registration in BIO151L is required. (Three hours of lecture, three hours laboratory, some Saturday fieldtrips.)",
"Evolution, Ecology and Diversity",4,null,BIO152,null,"Second of a two-semester introductory sequence. An introduction to evolution, ecology, and biological diversity forscience majors. Concurrent registration in BIO152L is required. (Three hours of lecture, four hours laboratory.)",
Internship,4,null,BIO199,null,,
"Introductory Cellular Biology",4,null,BIO253,null,"An introduction to structure and function in tissues, cells, and subcellular organelles. Concurrent registration in BIO253Lis required. (Three hours lecture, four hours laboratory.)",
Genetics,4,null,BIO255,null,"A study of the principles of heredity. The course integrates classical transmission genetics, molecular genetics, andgenomics. Special topics will include epigenetics, developmental genetics, and human disease genetics. Contemporarygenetic model systems will be utilized in laboratory experiments. Concurrent registration in BIO255L is required. (Threehours of lecture, four hours of laboratory.)",
"Directed Study: Research in Biology",2,null,BIO297,null,"Directed research with a faculty mentor. No more than two terms may be applied to minimum graduation requirements.Requires permission of instructor and chair of the department. (Pass/No Pass only)",
"Directed Study",4,null,BIO299,null,,
"Invertebrate Zoology",4,null,BIO351,null,"A study of the invertebrate animals stressing classification, morphology, behavior, life history, and phylogeny.Concurrent registration in BIO351L is required. (Three hours of lecture, four hours of laboratory.)",
"Comparative Vertebrate Anatomy",4,null,BIO353,null,"Comparative anatomy, functional morphology, and evolutionary morphology of vertebrates. A study of vertebrateanatomy integrating the perspectives of embryology, morphology and phylogeny. Concurrent registration in BIO353L isrequired. (Three hours of lecture, four hours of laboratory.)",
"Plant Biology",4,null,BIO361,null,"A survey of the diversity and evolution of algae and plants. Topics on plant anatomy, physiology, phylogeny, ecologicaland economic importance, and plant-microbe interactions are integrated throughout. Concurrent registration inBIO361L is required. (Three hours of lecture, four hours of laboratory.)",
Biochemistry,4,null,BIO369,null,"The course addresses the chemical structure and function of the major biological macromolecules. Key topic areas areprotein structure and function, enzyme mechanisms, thermodynamics, intermediary metabolism, and metabolicregulation. Concurrent registration in BIO369L is required. (Three hours lecture, four hours laboratory.)",
Internship,4,null,BIO396,null,,
Internship,2,null,BIO397,null,,
Internship,2,null,BIO398,null,,
Internship,4,null,BIO399,null,,
"Plant Physiology",4,null,BIO440,null,"An introduction to the basic principles of how plants function. Emphasis will be on the flowering plants and theprocesses involved with photosynthesis, growth, development, and water relations. The impact of abiotic and bioticstressors on plant physiology will be discussed. Concurrent registration in BIO440L is required.",
"Advanced Cellular and Molecular Biology",4,null,BIO471,null,"An examination of mechanisms of molecular genetics, recombinant DNA technology, cell-signaling, cell cycle control, thecytoskeleton and select additional topics. Concurrent registration in BIO471L is required. (Three hours of lecture, fourhours of laboratory.)",
"Physiology of Humans and Other Animals",4,null,BIO473,null,"A study of digestion, respiration, circulation, excretion, movement, and sensory perception as well as neural andhormonal control of these functions, emphasizing vertebrates. Concurrent registration in BIO473L is required. (Threehours of lecture, four hours of laboratory.)",
"Developmental Biology",4,null,BIO474,null,"A study of development from the embryonic to adult stages. The course will focus on the physiological, molecular, andmorphological changes that occur during development. Additional topics to be covered will include evolutionarydevelopmental biology (evo devo), teratology, stem cells, regeneration, and cell death. Concurrent registration inBIO474L is required. (Three hours of lecture, four hours of laboratory.)",
Neurobiology,4,null,BIO475,null,"An introduction to the nervous system. Topics to be studied include the electrical activity of neurons, sensory and motorsystems, mechanisms of learning and memory, animal behavior, and human cognition. Concurrent registration inBIO475L is required. (Three hours of lecture, four hours of laboratory.)",
Microbiology,4,null,BIO476,null,"An introduction to the study of microorganisms. Environmental, industrial, and medical issues are discussed, withparticular attention paid to human pathogens. Concurrent registration in BIO476L is required. (Three hours lecture, fourhours laboratory.)",
Ecology,4,null,BIO481,null,"A study of interactions between organisms and the biotic and abiotic environment. Topics include physiological ecology,energy flow, nutrient cycling, a survey of biomes, population and community ecology, and conservation. Concurrentregistration in BIO481L is required. (Three hours lecture, four hours laboratory, some Saturday field trips.)",
"Advanced Topics in Biology",2,null,BIO485,null,"An exploration of advanced topics in biology. Students will learn the foundational concepts of a topic of ongoingresearch in the biological sciences, and apply that knowledge as they read and discuss current scientific literature in thatsubject. Check Records and Registration for the topic and title of a given section. This course is repeatable.",
Immunology,4,null,BIO486,null,"A study of the mechanisms by which the immune system can recognize and neutralize or destroy foreign molecules andorganisms. Aspects of immune dysfunction in allergy, autoimmunity, cancer and immunodeficiency are included.Concurrent registration in BIO486L is required. (Three hours of lecture, four hours of laboratory.)",
"Biology Keystone",2,null,BIO490,null,"A seminar course that fulfills the keystone requirement. Several important biological issues that have ethical and societalimplication and ramifications are explored, including the topics of the vocation of a scientist, connections between faithand science, and moral, ethical, and societal challenges faced by scientists. For senior biology majors.",
"Special Topics in Biology",4,null,BIO495,null,"Courses covering special topics not otherwise covered by our other course offerings. Topics may vary.",
"Independent Study",2,null,BIO497,null,,
"Independent Study",4,null,BIO499,null,,
Internship,4,null,BUS199,null,,
"Principles of Management",4,null,BUS242,null,"Development of the theory of management, organization, staffing, planning, and control. The nature of authority,accountability, and responsibility; analysis of the role of the professional manager.",
Entrepreneurship,4,null,BUS254,null,"The process of transforming an idea into an organization that can market this idea successfully. Examines theconstruction of a viable business plan with attention to the resources needed for success.",
Topics,4,null,BUS295,null,"Lectures, discussions, meetings with members of the staff or visiting faculty regarding research methodology andreadings in the areas of business administration.",
"Directed Study",4,null,BUS299,null,,
